,ENTIDAD,NOM_ENT,POBTOT,POBFEM,POBMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,POB15_64,P_60YMAS,PNACOE,PNACOE_F,PRESOE15,PCON_DISC,P15YM_AN,PE_INAC,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PSINDER,PDER_IMSS,PDER_SEGP,PAFIL_IPRIV,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,POBHOG,PHOGJEF_F,VIVTOT,PROM_OCUP,PRO_OCUP_C,VPH_1DOR,VPH_C_ELEC,VPH_AGUADV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_DRENAJ,VPH_REFRI,VPH_LAVAD,VPH_BICI,VPH_TV,VPH_PC,VPH_CEL,VPH_INTER,VPH_SPMVPI
0,1,Aguascalientes,1425607,728924,696683,71864,78833,156683,77815,78140,941834,145376,276430,144420,56422,71294,21908,407903,692983,289268,403715,13947,262088,780525,271996,31789,1272419,73359,1900,74439,386445,119453,1421200,395735,463972,3.68,0.89,86423,384361,383430,295903,152521,382597,383148,365189,335710,105752,370411,177149,359895,236003,98724
16376,2,Baja California,3769020,1868431,1900589,149957,175286,365938,187122,183590,2637218,379302,1463949,735208,211416,151945,52496,1034874,1984462,825213,1159249,26436,836317,1995530,515855,131967,2336986,616812,5678,789177,1148913,379379,3739800,1187752,1325949,3.26,0.9,342666,1132622,1117719,122201,71176,1091956,1101573,1086226,946647,155157,1071379,576454,1080169,800189,384011
73229,3,Baja California Sur,798447,392568,405879,35963,39870,81476,39744,39576,549039,75608,313283,151310,72475,35383,13926,207713,420525,172203,248322,6755,129270,408856,139342,12335,587796,88010,1125,116141,240468,76323,793424,242023,299873,3.3,1.01,83834,235285,226124,195709,64637,230755,231864,219805,164034,28452,214312,108948,226517,148723,67961
91196,4,Campeche,928363,471424,456939,45541,50104,98089,47384,45762,613113,102616,199443,100331,27860,52259,39986,266137,456296,185018,271278,6311,203304,288186,327334,7441,558124,226028,1025,137884,260725,81072,926854,268706,321634,3.55,1.12,116234,255453,248625,188401,52939,245200,245656,218630,201206,62159,226163,87769,218322,114020,38508
103036,5,Coahuila de Zaragoza,3146771,1583102,1563669,160368,177691,327112,159109,158561,2086745,348537,398612,200206,83587,134816,38606,984416,1450922,572990,877932,34013,597373,2085705,181821,82868,2357324,421206,2299,355798,900883,257311,3137032,817308,1078048,3.48,0.84,220857,895921,889513,598397,122510,882547,886984,870949,780014,167028,863515,367970,824291,519599,195883
163701,6,Colima,731391,370769,360622,29614,34469,72944,36136,36239,494510,91557,193703,98633,35221,39880,18734,204200,380902,162558,218344,5740,123074,362244,179704,9344,610645,57884,812,59254,226853,78777,728297,238959,288978,3.21,0.96,73164,224634,224122,168639,56894,224485,224708,211596,170380,41614,206844,90200,206736,132395,43881
178334,7,Chiapas,5543828,2837881,2705947,334055,363406,730599,342016,323350,3396877,507757,174961,87981,56588,227878,512720,1571228,2454255,936525,1517730,47086,1814782,672681,2538415,32965,2985644,1795861,15429,713462,1351023,358039,5524499,1260991,1694405,4.09,1.32,562888,1317473,1207826,667487,415559,1178078,1226871,870621,590197,187556,1036741,212970,944695,292189,61298
233528,8,Chihuahua,3741869,1888047,1853822,163950,191706,385907,200760,195214,2512947,419821,561040,279227,89954,167788,73223,1122057,1829503,749737,1079766,34120,574108,2043251,688684,127454,2712366,475603,3306,533329,1146395,388589,3725031,1182399,1401765,3.25,0.8,324559,1125620,1125206,407925,42464,1095308,1105223,1081646,984232,125791,1068519,488724,1051045,650546,282049
314863,9,Ciudad de México,9209944,4805017,4404927,267151,324942,692726,367954,380808,6525440,1491619,1679063,934710,308686,493589,107444,2798579,4985469,2273939,2711530,114488,2502789,3881545,1203824,444160,6988016,668246,55245,1472848,2756319,1098365,9159392,3408051,3036239,3.32,0.8,813453,2746872,2719720,2328798,1665465,2738826,2744306,2580111,2279427,550349,2647911,1649403,2536523,2084156,957162
383804,10,Durango,1832650,927784,904866,95793,107941,209620,100550,98442,1172629,209478,210697,106016,39250,101953,35779,593095,796197,309943,486254,22082,461394,744664,404554,16765,1521197,168665,1568,135125,493698,157252,1821273,536132,632975,3.69,0.91,122022,483167,482430,383135,116819,459918,467143,449272,381316,128226,457688,169760,434450,215108,73099
419532,11,Guanajuato,6166934,3170480,2996454,313928,337595,656650,327519,330251,4052225,681374,557773,279349,117626,285615,238838,1828679,2943208,1193933,1749275,53931,1275190,2259062,2181882,93767,5601990,255840,5243,283625,1586531,522424,6144406,1894813,1992652,3.87,1.02,404843,1573803,1538307,1279561,453354,1526508,1531196,1464808,1277392,582048,1497382,550020,1381668,764350,240833
489075,12,Guerrero,3540685,1840073,1700612,197506,207880,422140,207435,202882,2174538,443534,195093,100013,58096,213615,310327,1050902,1606120,677989,928131,29067,891961,506026,1744754,14282,2845506,358158,2880,316012,942043,334190,3525670,1145999,1316263,3.74,1.29,425351,920890,831768,547435,285156,807068,824631,758141,430583,87178,759777,191317,715753,298180,56999
547489,13,Hidalgo,3082841,1601462,1481379,134738,156486,330011,170183,167457,2023471,383675,609940,326647,172723,166965,151311,948956,1473904,613816,860088,28460,928550,744201,1097048,24978,2475984,301786,6785,291743,857174,264559,3075177,830295,1198017,3.59,0.93,254360,847206,821517,652744,193053,781898,812005,708258,514108,192405,759456,261093,727888,332320,95701
