,ENTIDAD,NOM_ENT,POBTOT,POBFEM,POBMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,POB15_64,P_60YMAS,PNACOE,PNACOE_F,PRESOE15,PCON_DISC,P15YM_AN,PE_INAC,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PSINDER,PDER_IMSS,PDER_SEGP,PAFIL_IPRIV,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,POBHOG,PHOGJEF_F,VIVTOT,PROM_OCUP,PRO_OCUP_C,VPH_1DOR,VPH_C_ELEC,VPH_AGUADV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_DRENAJ,VPH_REFRI,VPH_LAVAD,VPH_BICI,VPH_TV,VPH_PC,VPH_CEL,VPH_INTER,VPH_SPMVPI
1,1,Aguascalientes,948990,486917,462073,44372,48767,97947,49497,49934,639532,102987,214908,112801,42481,47525,11618,269195,476502,205402,271100,10173,173199,575318,120974,25703,831010,55328,1539,58531,266778,85732,945505,273935,313256,3.54,0.84,55437,265785,265232,199994,122801,265261,265392,254959,234193,54393,257061,136923,251719,178619,80951
11468,1,Aguascalientes,51536,26275,25261,3170,3342,6605,3149,3218,31919,4697,6025,3245,936,2886,1242,16864,21014,7069,13945,426,7590,17762,23997,93,48757,1648,14,1079,12542,3191,51474,11539,15353,4.1,1.07,3617,12420,12390,10453,1834,11968,12067,11071,10306,5587,11794,2826,10682,4526,596
11997,1,Aguascalientes,58250,29687,28563,3159,3530,6748,3283,3220,35854,7829,6566,3341,1117,4088,1862,18638,25597,9342,16255,379,11832,10187,32383,217,55696,1141,9,1338,15546,5008,58155,17221,20842,3.74,0.97,4764,15398,15364,14580,2133,15378,15407,14659,13560,2574,14622,4003,13666,6553,1382
12547,1,Aguascalientes,17000,8708,8292,1032,1062,2086,1003,1045,10699,1613,1385,774,297,805,371,5774,6883,2401,4482,127,2347,7252,6439,33,15806,769,8,409,3937,889,16997,3497,4845,4.32,1.14,1006,3906,3900,3068,320,3842,3884,3518,3203,2211,3671,1005,3424,1741,223
12781,1,Aguascalientes,129929,65710,64219,6945,7998,15597,7763,7680,84949,9815,23898,12288,5610,5036,2175,33247,64945,27147,37798,894,27299,74274,20031,4904,118374,5208,190,5896,33214,9029,129860,31646,41550,3.91,0.95,7456,32977,32845,24863,14354,32817,32867,31414,29188,12579,31911,15687,31408,19920,9296
14125,1,Aguascalientes,47646,24269,23377,2746,2967,5645,2782,2872,30491,4481,4416,2292,789,2624,912,14084,21673,8719,12954,424,8858,21796,11841,218,44054,2044,23,1458,11456,3469,47558,13407,13541,4.15,1,2640,11361,11306,10248,3825,11279,11326,10673,9958,6917,10996,4437,10343,6200,1925
14601,1,Aguascalientes,57369,29268,28101,3545,3615,7121,3422,3471,35926,5264,4906,2539,1284,3323,1360,16125,26254,10683,15571,440,11395,19942,20270,222,53225,2133,37,1773,13572,4476,57269,17690,16527,4.22,1.06,3253,13422,13364,10554,2375,13239,13309,12388,11214,8296,12780,4460,12171,6281,1569
15153,1,Aguascalientes,9552,5020,4532,663,609,1212,549,558,5838,956,311,161,96,569,159,3220,3768,1442,2326,66,1249,1473,5886,38,9072,335,0,143,2381,685,9552,2411,3410,4.01,0.99,694,2345,2333,2156,436,2306,2315,2143,1977,514,2160,576,2099,732,161
15362,1,Aguascalientes,22485,11371,11114,1255,1430,2869,1304,1373,14007,2158,1267,665,288,1063,659,7653,8902,2886,6016,283,3358,6938,11179,37,21290,807,*,332,5422,1347,22461,4984,6592,4.14,1.08,1568,5355,5335,4690,751,5256,5296,4916,4547,2699,5100,1179,4610,2055,258
15624,1,Aguascalientes,20853,10407,10446,1268,1274,2459,1248,1225,13211,1988,1408,740,308,1141,568,7150,8519,2749,5770,149,4387,7383,7757,36,19548,782,9,467,5210,1351,20383,4577,6598,3.91,1.05,1591,5131,5113,3890,1015,4984,5009,4530,4159,3200,4902,1044,4467,1329,245
