NOM_ZM,POBTOT,POBFEM,POBMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,POB15_64,P_60YMAS,P_15YMAS,P_18YMAS,PNACOE,PNACOE_F,PRESOE15,PCON_DISC,P15YM_AN,P15SEC_CO,P18YM_PB,PE_INAC,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PSINDER,PDER_IMSS,PDER_SEGP,PAFIL_IPRIV,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,PROM_OCUP,PRO_OCUP_C,VPH_1DOR,VPH_C_ELEC,VPH_AGUADV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_DRENAJ,VPH_REFRI,VPH_LAVAD,VPH_BICI,VPH_TV,VPH_PC,VPH_CEL,VPH_INTER,VPH_SPMVPI,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PROM_OCUP,PRO_OCUP_C
Acapulco,852622,445313,407309,36535,40920,86306,43404,44042,555330,117874,636234,592192,59967,30492,13492,53443,40548,130680,286607,255878,412725,182516,230209,7967,236843,290127,212656,3815,613756,107536,901,120282,245301,95802,849445,315225,534220,358162,245411,6,2,95754,240983,224913,148811,55171,229713,230718,217787,139901,19467,216827,67660,212140,112162,25389,28605,23047,7838,10264,3.0,1.0
Acayucan,114416,59795,54621,5045,5584,11687,5911,5965,75673,15207,86168,80203,7871,4181,2155,6735,8554,15522,32725,34159,56594,23759,32835,965,43683,26996,35621,942,72525,24951,94,16725,33864,12660,113741,39426,74315,41458,33880,9,3,13754,33314,30720,14490,3434,32527,32691,28003,21708,3399,27886,6896,28165,10083,2133,3008,3223,1126,1618,3.0,1.0
Aguascalientes,1140916,583919,556997,55026,61004,121938,61075,61158,763889,116390,840674,779516,250146,130663,51307,54795,14775,221879,407140,318395,570373,243977,326396,11653,211072,687792,152244,30895,1004971,63700,1799,67440,316379,99037,1137351,320409,816942,376264,316562,9,1,67290,315023,314325,236264,139832,314345,314535,301291,276786,73754,304386,157619,298433,206586,92365,26327,23047,7075,9852,3.0,0.3
Campeche,294077,152522,141555,12287,14049,27355,13380,13520,201182,37321,226479,212959,42759,22131,7638,19010,7485,48491,118958,89926,147105,64715,82390,2337,57005,137833,62572,2929,187640,65779,533,39226,85297,30672,293199,99637,193562,101576,85353,3,0,33425,84565,84383,71801,9791,83546,83662,78024,69521,10748,78468,39358,78059,51974,19202,9632,8525,2476,3576,3.0,0.0
Cancún,934189,463322,470867,39160,44841,91085,44384,41965,669043,60983,705433,663468,540449,269146,106672,32492,13363,181067,355966,232529,505658,205725,299933,9285,244614,509501,112398,20225,514967,186512,2529,218032,293820,96157,932005,297130,634875,346554,293890,6,2,118100,289196,286019,274237,74137,289906,288710,268337,227043,54177,263616,119830,278109,179320,77315,12811,16457,5699,5744,3.0,1.0
Celaya,767104,395804,371300,35824,41501,77828,39468,40292,513592,86850,571579,531287,69420,34828,12503,31798,24023,169187,226926,232647,369816,154596,215220,6912,174606,329293,205279,11327,681844,38459,601,44312,204727,70991,765587,250968,514619,258782,204842,14,3,51752,203336,200122,157193,79857,199389,199755,191270,166229,93839,194170,80106,180262,109522,35227,16207,13035,5090,6705,3.5,0.8
Chetumal,233648,118552,115096,9477,11126,23154,11700,11642,161046,25741,177849,166207,78047,39850,8923,11128,7242,44859,83221,67008,120140,50501,69639,2046,48523,69817,61298,1842,132351,49335,344,50899,70753,24412,232061,76980,155081,87728,70782,3,1,30603,69228,68746,59985,24183,68786,69065,62148,55794,20299,60828,27957,64914,40605,14848,5402,4869,1741,2173,3.0,1.0
Chihuahua,988065,504489,483576,39704,46334,91039,46040,46847,682738,121637,762873,716026,75140,36693,15638,42209,8031,185990,413850,292619,504923,220747,284176,9586,109571,577567,131419,47007,773338,102683,1024,105914,316126,113766,982589,325472,657117,371696,316246,9,0,75768,314806,312695,237225,25301,313842,314016,309952,287298,27753,305154,169569,299293,215675,109214,22497,16018,5789,8254,3.0,0.0
Chilpancingo,336480,176258,160222,18404,19166,37625,18237,18299,219997,33902,242774,224475,16238,7946,5065,16336,16198,44243,120726,90079,165927,76442,89485,3335,91520,45141,125617,1747,252822,42911,618,39341,84980,32350,333888,120450,213438,110941,85069,7,2,31526,84275,75883,69548,40327,82178,83072,74744,45192,4098,75849,32254,75232,45821,11102,7436,7393,2387,3331,3.5,1.0
Ciudad Victoria,349688,180459,169229,14860,16607,34240,17538,17324,236254,44810,266161,248837,26864,13855,4555,15089,4672,50086,156804,108365,169807,75810,93997,4235,47692,136586,69945,6566,239972,62347,233,45295,101652,34478,348121,107921,240200,124897,101678,3,0,28201,100877,99557,41130,3468,98615,99175,97731,86659,17120,96468,47982,95397,63597,23385,7154,6415,2416,3014,3.0,0.0
Coatzacoalcos,355738,184944,170794,13766,17599,31702,15608,15979,244989,48515,276388,260409,68527,36844,8126,21819,10306,52264,139222,115826,169277,73915,95362,6305,73852,151286,71867,2191,202114,92417,329,59778,111965,40676,354109,120864,233245,148923,111988,9,1,43005,110833,107612,62417,9633,110750,110363,103142,91799,8103,101858,42229,103585,62981,20527,10204,10639,2882,4300,3.0,0.3
Colima-Villa de álvarez,230813,117552,113261,8398,9653,21333,10860,11310,154244,36295,179872,168562,51928,27006,10035,14681,5316,40063,84436,70285,117984,50753,67231,1959,40890,109126,58327,4206,200481,14088,274,14968,72163,25446,228770,74804,153966,93030,72273,12,2,23064,71332,71208,55692,22149,71212,71356,67272,54825,9850,66200,30468,65050,45141,14571,7673,6093,1880,2881,3.0,0.5
Cuautla,483455,249486,233969,21427,24072,49615,25272,25580,318542,64440,362856,337276,118914,62976,19577,27155,18167,100223,144270,136906,245365,105929,139436,4072,146155,130900,159888,3407,334260,74778,708,73032,134740,46754,481547,155996,325551,210803,134796,18,5,48545,133482,126215,102206,61869,130386,131867,119163,86335,34852,122551,43179,120346,65195,15457,13153,11553,4031,6244,3.0,0.8
Cuernavaca,1028589,534494,494095,40227,46743,94969,49614,50333,695112,147097,796468,746135,315386,170301,46683,55382,26709,194411,389013,299046,531419,238522,292897,13156,299769,400646,230084,18337,721333,142040,2500,160508,299189,108778,1023035,345840,677195,434178,299362,24,5,90060,297471,290243,249576,149820,294515,295517,277638,207407,35879,275474,131189,273041,190811,66334,27016,23834,7910,13105,3.0,0.6
Culiacán,1003530,512484,491046,46505,49512,100904,51122,50846,678895,111713,753646,702800,93551,47384,23561,41959,19539,126850,420475,294747,498256,214159,284097,6742,202978,557343,130547,17763,793717,81727,607,124543,281567,104712,991401,350864,640537,340656,281726,3,0,70537,280185,278202,143263,6212,276096,277566,274238,231364,37330,268037,137551,267476,175867,76748,20352,17394,6895,7524,3.0,0.0
Córdoba,335950,177549,158401,13099,15662,32335,16360,16632,225859,46895,258440,241808,23835,13075,5003,16071,10939,50891,115307,102977,168505,73807,94698,2760,107890,150843,58053,5739,287397,30470,381,17478,100742,37658,334502,115160,219342,126413,100777,12,1,35374,99869,96117,72418,14340,98064,99372,87477,67144,7480,92102,35230,88868,54943,15772,7081,7125,2576,3882,3.0,0.2
Delicias,195359,99151,96208,9026,9925,19983,10279,9802,128978,25158,146033,136231,16930,8347,3124,9272,3024,38664,61064,60131,93948,39177,54771,2006,26683,115405,31958,3599,153090,20734,141,21050,61516,21901,195035,65392,129643,74923,61544,6,0,18368,61222,61161,19781,1092,61063,61156,59890,55316,13403,59153,24076,57635,34314,13769,5111,3376,1447,1653,3.0,0.0
Durango,688697,353285,335412,31927,37947,75830,35765,36136,454946,75853,505256,469120,53906,27013,15557,38618,7080,147792,241171,204076,327143,140996,186147,8340,173476,302609,98551,7195,573001,59370,752,52716,186768,67773,683730,232395,451335,224232,186870,3,0,38612,185488,184775,162364,67250,182200,183670,176214,149114,45496,179186,85610,173659,107117,43799,19567,16270,4643,6684,3.0,0.0
Ensenada,443807,222500,221307,18918,21114,42133,21509,20882,304500,53463,339720,318838,159809,80717,24414,20367,7752,75838,165913,127562,228454,96410,132044,3106,77808,203713,105448,9994,253458,86307,604,102020,139850,47568,440625,141836,298789,171203,139968,3,0,43494,136311,132593,55127,10326,128536,131315,128859,111627,19231,127369,68939,131092,92742,45288,9811,8431,2674,3594,3.0,0.0
Guadalajara,4540892,2317267,2223625,188946,219245,426147,215898,220948,3064783,557947,3440678,3219730,602394,309281,98534,200538,63185,779319,1740490,1252926,2350198,1018231,1331967,35405,1368204,2541212,283450,179100,3978801,236672,6417,259774,1271390,452827,4514537,1511332,3003205,1495081,1272231,27,5,273304,1254607,1251038,995430,622254,1253058,1252915,1216078,1075973,294353,1213648,664638,1181909,889366,404171,103611,81314,28769,40183,3.0,0.6
Guanajuato,194500,100462,94038,9462,10214,19242,9719,9488,132066,20789,145735,136247,11816,6115,2676,7940,4821,37352,68296,59323,93436,40021,53415,2317,27808,66668,59389,5880,176707,6243,186,10818,51675,18768,193690,65105,128585,63114,51688,3,0,12292,51321,49641,46778,6064,49893,50011,48561,42650,5158,48522,25168,46529,31336,11362,3837,3459,1180,1786,3.0,0.0
