,NOM_ZM,POBFEM_%,POBMAS_%,P_0A2_%,P_3A5_%,P_6A11_%,P_12A14_%,P_15A17_%,POB15_64_%,P_18YMAS_%,P_60YMAS_%,PNACOE_%,PNACOE_F_%,PRESOE15_%,PCON_DISC_%,P15YM_AN_%,P15SEC_CO_%,P18YM_PB_%,PE_INAC_%,POCUPADA_%,POCUPADA_F_%,POCUPADA_M_%,PDESOCUP_%,PSINDER_%,OTRAS_DERECH,PDER_IMSS_%,PDER_SEGP_%,PAFIL_IPRIV_%,OTRAS_DERECH_%,PCATOLICA_%,PRO_CRIEVA_%,POTRAS_REL_%,PSIN_RELIG_%,HOGJEF_F_%,HOGJEF_M_%,PHOGJEF_F_%,PHOGJEF_M_%,TVIVHAB_%,VPH_1DOR_%,VPH_C_ELEC_%,VPH_AGUADV_%,VPH_TINACO_%,VPH_CISTER_%,VPH_EXCSA_%,VPH_DRENAJ_%,VPH_REFRI_%,VPH_LAVAD_%,VPH_BICI_%,VPH_TV_%,VPH_PC_%,VPH_CEL_%,VPH_INTER_%,VPH_SPMVPI_%,POBHOG_%,PROM_OCUP,PRO_OCUP_C,PCDISC_MOT_%,PCDISC_VIS_%,PCDISC_LENG_%,PCDISC_AUD_%,P3YM_HLI_%,P3HLINHE_%,P3HLI_HE_%,POB_AFRO_%,VPH_1CUART_%,PHOG_IND_%
0,Acapulco,52.2,47.8,4.3,4.8,10.1,5.1,5.2,65.1,69.5,13.8,7.0,50.8,22.5,6.3,6.4,20.5,48.4,30.0,48.4,44.2,55.8,0.9,27.8,216471,34.0,24.9,0.4,25.4,72.0,12.6,0.1,14.1,39.1,60.9,37.1,62.9,68.5,39.0,98.2,91.7,60.7,22.5,93.6,94.1,88.8,57.0,7.9,88.4,27.6,86.5,45.7,10.4,99.6,3.0,1.0,53.5,43.1,14.7,19.2,1.4,0.0,1.4,9.3,14.9,3.3
1,Acayucan,52.3,47.7,4.4,4.9,10.2,5.2,5.2,66.1,70.1,13.3,6.9,53.1,27.4,5.9,9.9,18.0,40.8,29.9,49.5,42.0,58.0,0.8,38.2,36563,23.6,31.1,0.8,32.0,63.4,21.8,0.1,14.6,37.4,62.6,34.7,65.3,81.7,40.6,98.4,90.7,42.8,10.1,96.1,96.5,82.7,64.1,10.0,82.3,20.4,83.2,29.8,6.3,99.4,3.0,1.0,44.7,47.9,16.7,24.0,3.3,0.0,3.3,1.2,14.6,6.5
2,Aguascalientes,51.2,48.8,4.8,5.3,10.7,5.4,5.4,67.0,68.3,10.2,21.9,52.2,20.5,4.8,1.8,26.4,52.2,27.9,50.0,42.8,57.2,1.0,18.5,183139,60.3,13.3,2.7,16.1,88.1,5.6,0.2,5.9,31.3,68.7,28.2,71.8,84.1,21.3,99.6,99.4,74.7,44.2,99.4,99.4,95.2,87.5,23.3,96.2,49.8,94.3,65.3,29.2,99.7,3.0,0.3,48.0,42.1,12.9,18.0,0.2,0.0,0.2,1.6,1.3,0.4
3,Campeche,51.9,48.1,4.2,4.8,9.3,4.5,4.6,68.4,72.4,12.7,14.5,51.8,17.9,6.5,3.3,21.4,55.9,30.6,50.0,44.0,56.0,0.8,19.4,65501,46.9,21.3,1.0,22.3,63.8,22.4,0.2,13.3,36.0,64.0,34.0,66.0,84.0,39.2,99.1,98.9,84.2,11.5,97.9,98.1,91.5,81.5,12.6,92.0,46.1,91.5,60.9,22.5,99.7,3.0,0.0,50.7,44.8,13.0,18.8,4.5,0.0,4.4,2.3,8.9,11.8
4,Cancún,49.6,50.4,4.2,4.8,9.8,4.8,4.5,71.6,71.0,6.5,57.9,49.8,19.7,3.5,1.9,25.7,53.7,24.9,54.1,40.7,59.3,1.0,26.2,132623,54.5,12.0,2.2,14.2,55.1,20.0,0.3,23.3,32.7,67.3,31.9,68.1,84.8,40.2,98.4,97.3,93.3,25.2,98.7,98.3,91.3,77.3,18.4,89.7,40.8,94.7,61.0,26.3,99.8,3.0,1.0,39.4,50.6,17.5,17.7,6.6,0.1,6.5,2.3,11.8,16.2
5,Celaya,51.6,48.4,4.7,5.4,10.1,5.1,5.3,67.0,69.3,11.3,9.0,50.2,18.0,4.1,4.2,29.6,42.7,30.3,48.2,41.8,58.2,0.9,22.8,216606,42.9,26.8,1.5,28.2,88.9,5.0,0.1,5.8,34.7,65.3,32.8,67.2,79.2,25.3,99.3,97.8,76.8,39.0,97.4,97.6,93.4,81.2,45.8,94.8,39.1,88.0,53.5,17.2,99.8,3.5,0.8,51.0,41.0,16.0,21.1,0.2,0.0,0.2,2.1,2.6,0.5
6,Chetumal,50.7,49.3,4.1,4.8,9.9,5.0,5.0,68.9,71.1,11.0,33.4,51.1,11.4,4.8,4.1,25.2,50.1,28.7,51.4,42.0,58.0,0.9,20.8,63140,29.9,26.2,0.8,27.0,56.6,21.1,0.1,21.8,34.5,65.5,33.2,66.8,80.7,43.3,97.8,97.2,84.8,34.2,97.2,97.6,87.8,78.9,28.7,86.0,39.5,91.7,57.4,21.0,99.3,3.0,1.0,48.5,43.8,15.6,19.5,5.3,0.1,5.1,3.7,14.8,13.8
7,Chihuahua,51.1,48.9,4.0,4.7,9.2,4.7,4.7,69.1,72.5,12.3,7.6,48.8,20.8,4.3,1.1,24.4,57.8,29.6,51.1,43.7,56.3,1.0,11.1,178426,58.5,13.3,4.8,18.1,78.3,10.4,0.1,10.7,36.0,64.0,33.1,66.9,85.1,24.0,99.6,98.9,75.0,8.0,99.3,99.3,98.0,90.9,8.8,96.5,53.6,94.7,68.2,34.5,99.4,3.0,0.0,53.3,37.9,13.7,19.6,1.0,0.0,1.0,1.8,1.8,1.8
8,Chilpancingo,52.4,47.6,5.5,5.7,11.2,5.4,5.4,65.4,66.7,10.1,4.8,48.9,31.2,4.9,6.7,18.2,53.8,26.8,49.3,46.1,53.9,1.0,27.2,127364,13.4,37.3,0.5,37.9,75.1,12.8,0.2,11.7,38.1,61.9,36.1,63.9,76.7,37.1,99.2,89.3,81.8,47.5,96.7,97.8,88.0,53.2,4.8,89.3,38.0,88.5,53.9,13.1,99.2,3.5,1.0,45.5,45.3,14.6,20.4,4.5,0.2,4.3,8.6,15.0,8.2
9,Ciudad Victoria,51.6,48.4,4.2,4.7,9.8,5.0,5.0,67.6,71.2,12.8,7.7,51.6,17.0,4.3,1.8,18.8,63.0,31.0,48.6,44.6,55.4,1.2,13.6,76511,39.1,20.0,1.9,21.9,68.6,17.8,0.1,13.0,33.9,66.1,31.0,69.0,81.4,27.7,99.2,97.9,40.5,3.4,97.0,97.6,96.1,85.3,16.8,94.9,47.2,93.8,62.6,23.0,99.6,3.0,0.0,47.4,42.5,16.0,20.0,0.2,0.0,0.2,1.3,3.2,0.5
