,NOM_ZM,POBTOT,POBFEM,POBMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,POB15_64,P_60YMAS,P_15YMAS,P_18YMAS,PNACOE,PNACOE_F,PRESOE15,PCON_DISC,P15YM_AN,P15SEC_CO,P18YM_PB,PE_INAC,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PSINDER,PDER_IMSS,PDER_SEGP,PAFIL_IPRIV,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,TVIVPARHAB,VIVTOT,TVIVHAB,VPH_1CUART,VPH_1DOR,VPH_C_ELEC,VPH_AGUADV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_DRENAJ,VPH_REFRI,VPH_LAVAD,VPH_BICI,VPH_TV,VPH_PC,VPH_CEL,VPH_INTER,VPH_SPMVPI,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,P3YM_HLI,P3HLINHE,P3HLI_HE,POB_AFRO,PHOG_IND,PROM_OCUP,PRO_OCUP_C,POBFEM_%,POBMAS_%,P_0A2_%,P_3A5_%,P_6A11_%,P_12A14_%,P_15A17_%,POB15_64_%,P_18YMAS_%,P_60YMAS_%,PNACOE_%,PNACOE_F_%,PRESOE15_%,PCON_DISC_%,PCDISC_MOT_%,PCDISC_VIS_%,PCDISC_LENG_%,PCDISC_AUD_%,P15YM_AN_%,P15SEC_CO_%,P18YM_PB_%,PE_INAC_%,POCUPADA_%,POCUPADA_F_%,POCUPADA_M_%,PDESOCUP_%,PSINDER_%,OTRAS_DERECH,PDER_IMSS_%,PDER_SEGP_%,PAFIL_IPRIV_%,OTRAS_DERECH_%,PCATOLICA_%,PRO_CRIEVA_%,POTRAS_REL_%,PSIN_RELIG_%,HOGJEF_F_%,HOGJEF_M_%,PHOGJEF_F_%,PHOGJEF_M_%,TVIVHAB_%,VPH_1DOR_%,VPH_C_ELEC_%,VPH_AGUADV_%,VPH_TINACO_%,VPH_CISTER_%,VPH_EXCSA_%,VPH_DRENAJ_%,VPH_REFRI_%,VPH_LAVAD_%,VPH_BICI_%,VPH_TV_%,VPH_PC_%,VPH_CEL_%,VPH_INTER_%,VPH_SPMVPI_%,POBHOG_%,VPH_1CUART_%,P3YM_HLI_%,P3HLINHE_%,P3HLI_HE_%,PHOG_IND_%,POB_AFRO_%
0,Acapulco,852622,445313,407309,36535,40920,86306,43404,44042,555330,117874,636234,592192,59967,30492,13492,53443,40548,130680,286607,255878,412725,182516,230209,7967,236843,290127,212656,3815,613756,107536,901,120282,245301,95802,149499,849445,315225,534220,245301,358162,245411,36620,95754,240983,224913,148811,55171,229713,230718,217787,139901,19467,216827,67660,212140,112162,25389,28605,23047,7838,10264,12199,157,11967,78963,28404,3.0,1.0,52.2,47.8,4.3,4.8,10.1,5.1,5.2,65.1,69.5,13.8,7.0,50.8,22.5,6.3,53.5,43.1,14.7,19.2,6.4,20.5,48.4,30.0,48.4,44.2,55.8,0.9,27.8,216471,34.0,24.9,0.4,25.4,72.0,12.6,0.1,14.1,39.1,60.9,37.1,62.9,68.5,39.0,98.2,91.7,60.7,22.5,93.6,94.1,88.8,57.0,7.9,88.4,27.6,86.5,45.7,10.4,99.6,14.9,1.4,0.0,1.4,3.3,9.3
1,Acayucan,114416,59795,54621,5045,5584,11687,5911,5965,75673,15207,86168,80203,7871,4181,2155,6735,8554,15522,32725,34159,56594,23759,32835,965,43683,26996,35621,942,72525,24951,94,16725,33864,12660,21204,113741,39426,74315,33864,41458,33880,4930,13754,33314,30720,14490,3434,32527,32691,28003,21708,3399,27886,6896,28165,10083,2133,3008,3223,1126,1618,3820,36,3746,1429,7457,3.0,1.0,52.3,47.7,4.4,4.9,10.2,5.2,5.2,66.1,70.1,13.3,6.9,53.1,27.4,5.9,44.7,47.9,16.7,24.0,9.9,18.0,40.8,29.9,49.5,42.0,58.0,0.8,38.2,36563,23.6,31.1,0.8,32.0,63.4,21.8,0.1,14.6,37.4,62.6,34.7,65.3,81.7,40.6,98.4,90.7,42.8,10.1,96.1,96.5,82.7,64.1,10.0,82.3,20.4,83.2,29.8,6.3,99.4,14.6,3.3,0.0,3.3,6.5,1.2
2,Aguascalientes,1140916,583919,556997,55026,61004,121938,61075,61158,763889,116390,840674,779516,250146,130663,51307,54795,14775,221879,407140,318395,570373,243977,326396,11653,211072,687792,152244,30895,1004971,63700,1799,67440,316379,99037,217342,1137351,320409,816942,316379,376264,316562,4226,67290,315023,314325,236264,139832,314345,314535,301291,276786,73754,304386,157619,298433,206586,92365,26327,23047,7075,9852,2117,21,2048,18135,4713,3.0,0.3,51.2,48.8,4.8,5.3,10.7,5.4,5.4,67.0,68.3,10.2,21.9,52.2,20.5,4.8,48.0,42.1,12.9,18.0,1.8,26.4,52.2,27.9,50.0,42.8,57.2,1.0,18.5,183139,60.3,13.3,2.7,16.1,88.1,5.6,0.2,5.9,31.3,68.7,28.2,71.8,84.1,21.3,99.6,99.4,74.7,44.2,99.4,99.4,95.2,87.5,23.3,96.2,49.8,94.3,65.3,29.2,99.7,1.3,0.2,0.0,0.2,0.4,1.6
3,Campeche,294077,152522,141555,12287,14049,27355,13380,13520,201182,37321,226479,212959,42759,22131,7638,19010,7485,48491,118958,89926,147105,64715,82390,2337,57005,137833,62572,2929,187640,65779,533,39226,85297,30672,54625,293199,99637,193562,85297,101576,85353,7634,33425,84565,84383,71801,9791,83546,83662,78024,69521,10748,78468,39358,78059,51974,19202,9632,8525,2476,3576,13151,104,12970,6794,34670,3.0,0.0,51.9,48.1,4.2,4.8,9.3,4.5,4.6,68.4,72.4,12.7,14.5,51.8,17.9,6.5,50.7,44.8,13.0,18.8,3.3,21.4,55.9,30.6,50.0,44.0,56.0,0.8,19.4,65501,46.9,21.3,1.0,22.3,63.8,22.4,0.2,13.3,36.0,64.0,34.0,66.0,84.0,39.2,99.1,98.9,84.2,11.5,97.9,98.1,91.5,81.5,12.6,92.0,46.1,91.5,60.9,22.5,99.7,8.9,4.5,0.0,4.4,11.8,2.3
4,Cancún,934189,463322,470867,39160,44841,91085,44384,41965,669043,60983,705433,663468,540449,269146,106672,32492,13363,181067,355966,232529,505658,205725,299933,9285,244614,509501,112398,20225,514967,186512,2529,218032,293820,96157,197663,932005,297130,634875,293820,346554,293890,34695,118100,289196,286019,274237,74137,289906,288710,268337,227043,54177,263616,119830,278109,179320,77315,12811,16457,5699,5744,61736,612,60569,21838,151794,3.0,1.0,49.6,50.4,4.2,4.8,9.8,4.8,4.5,71.6,71.0,6.5,57.9,49.8,19.7,3.5,39.4,50.6,17.5,17.7,1.9,25.7,53.7,24.9,54.1,40.7,59.3,1.0,26.2,132623,54.5,12.0,2.2,14.2,55.1,20.0,0.3,23.3,32.7,67.3,31.9,68.1,84.8,40.2,98.4,97.3,93.3,25.2,98.7,98.3,91.3,77.3,18.4,89.7,40.8,94.7,61.0,26.3,99.8,11.8,6.6,0.1,6.5,16.2,2.3
5,Celaya,767104,395804,371300,35824,41501,77828,39468,40292,513592,86850,571579,531287,69420,34828,12503,31798,24023,169187,226926,232647,369816,154596,215220,6912,174606,329293,205279,11327,681844,38459,601,44312,204727,70991,133736,765587,250968,514619,204727,258782,204842,5364,51752,203336,200122,157193,79857,199389,199755,191270,166229,93839,194170,80106,180262,109522,35227,16207,13035,5090,6705,1622,13,1501,16372,3623,3.5,0.8,51.6,48.4,4.7,5.4,10.1,5.1,5.3,67.0,69.3,11.3,9.0,50.2,18.0,4.1,51.0,41.0,16.0,21.1,4.2,29.6,42.7,30.3,48.2,41.8,58.2,0.9,22.8,216606,42.9,26.8,1.5,28.2,88.9,5.0,0.1,5.8,34.7,65.3,32.8,67.2,79.2,25.3,99.3,97.8,76.8,39.0,97.4,97.6,93.4,81.2,45.8,94.8,39.1,88.0,53.5,17.2,99.8,2.6,0.2,0.0,0.2,0.5,2.1
6,Chetumal,233648,118552,115096,9477,11126,23154,11700,11642,161046,25741,177849,166207,78047,39850,8923,11128,7242,44859,83221,67008,120140,50501,69639,2046,48523,69817,61298,1842,132351,49335,344,50899,70753,24412,46341,232061,76980,155081,70753,87728,70782,10440,30603,69228,68746,59985,24183,68786,69065,62148,55794,20299,60828,27957,64914,40605,14848,5402,4869,1741,2173,12331,141,11997,8634,32127,3.0,1.0,50.7,49.3,4.1,4.8,9.9,5.0,5.0,68.9,71.1,11.0,33.4,51.1,11.4,4.8,48.5,43.8,15.6,19.5,4.1,25.2,50.1,28.7,51.4,42.0,58.0,0.9,20.8,63140,29.9,26.2,0.8,27.0,56.6,21.1,0.1,21.8,34.5,65.5,33.2,66.8,80.7,43.3,97.8,97.2,84.8,34.2,97.2,97.6,87.8,78.9,28.7,86.0,39.5,91.7,57.4,21.0,99.3,14.8,5.3,0.1,5.1,13.8,3.7
7,Chihuahua,988065,504489,483576,39704,46334,91039,46040,46847,682738,121637,762873,716026,75140,36693,15638,42209,8031,185990,413850,292619,504923,220747,284176,9586,109571,577567,131419,47007,773338,102683,1024,105914,316126,113766,202360,982589,325472,657117,316126,371696,316246,5805,75768,314806,312695,237225,25301,313842,314016,309952,287298,27753,305154,169569,299293,215675,109214,22497,16018,5789,8254,9974,124,9655,17904,18118,3.0,0.0,51.1,48.9,4.0,4.7,9.2,4.7,4.7,69.1,72.5,12.3,7.6,48.8,20.8,4.3,53.3,37.9,13.7,19.6,1.1,24.4,57.8,29.6,51.1,43.7,56.3,1.0,11.1,178426,58.5,13.3,4.8,18.1,78.3,10.4,0.1,10.7,36.0,64.0,33.1,66.9,85.1,24.0,99.6,98.9,75.0,8.0,99.3,99.3,98.0,90.9,8.8,96.5,53.6,94.7,68.2,34.5,99.4,1.8,1.0,0.0,1.0,1.8,1.8
8,Chilpancingo,336480,176258,160222,18404,19166,37625,18237,18299,219997,33902,242774,224475,16238,7946,5065,16336,16198,44243,120726,90079,165927,76442,89485,3335,91520,45141,125617,1747,252822,42911,618,39341,84980,32350,52630,333888,120450,213438,84980,110941,85069,12727,31526,84275,75883,69548,40327,82178,83072,74744,45192,4098,75849,32254,75232,45821,11102,7436,7393,2387,3331,14983,591,14333,28925,27426,3.5,1.0,52.4,47.6,5.5,5.7,11.2,5.4,5.4,65.4,66.7,10.1,4.8,48.9,31.2,4.9,45.5,45.3,14.6,20.4,6.7,18.2,53.8,26.8,49.3,46.1,53.9,1.0,27.2,127364,13.4,37.3,0.5,37.9,75.1,12.8,0.2,11.7,38.1,61.9,36.1,63.9,76.7,37.1,99.2,89.3,81.8,47.5,96.7,97.8,88.0,53.2,4.8,89.3,38.0,88.5,53.9,13.1,99.2,15.0,4.5,0.2,4.3,8.2,8.6
9,Ciudad Victoria,349688,180459,169229,14860,16607,34240,17538,17324,236254,44810,266161,248837,26864,13855,4555,15089,4672,50086,156804,108365,169807,75810,93997,4235,47692,136586,69945,6566,239972,62347,233,45295,101652,34478,67174,348121,107921,240200,101652,124897,101678,3234,28201,100877,99557,41130,3468,98615,99175,97731,86659,17120,96468,47982,95397,63597,23385,7154,6415,2416,3014,654,0,647,4659,1643,3.0,0.0,51.6,48.4,4.2,4.7,9.8,5.0,5.0,67.6,71.2,12.8,7.7,51.6,17.0,4.3,47.4,42.5,16.0,20.0,1.8,18.8,63.0,31.0,48.6,44.6,55.4,1.2,13.6,76511,39.1,20.0,1.9,21.9,68.6,17.8,0.1,13.0,33.9,66.1,31.0,69.0,81.4,27.7,99.2,97.9,40.5,3.4,97.0,97.6,96.1,85.3,16.8,94.9,47.2,93.8,62.6,23.0,99.6,3.2,0.2,0.0,0.2,0.5,1.3
